RSI(14)_value,RSI(14)_status,"STOCH(9,6)_value","STOCH(9,6)_status",STOCHRSI(14)_value,STOCHRSI(14)_status,"MACD(12,26)_value","MACD(12,26)_status",ATR(14)_value,ATR(14)_status,ADX(14)_value,ADX(14)_status,CCI(14)_value,CCI(14)_status,Highs/Lows(14)_value,Highs/Lows(14)_status,UO_value,UO_status,ROC_value,ROC_status,WilliamsR_value,WilliamsR_status,BullBear(13)_value,BullBear(13)_status,Summary_value,Summary_status,Fiyat,Degisim,Hisse,Tarih,MA5_state,MA5_value,MA10_state,MA10_value,MA20_state,MA20_value,MA50_state,MA50_value,MA100_state,MA100_value,MA200_state,MA200_value,Summary_state,Summary_value
44.068,Sell,13.580,Oversold,12.645,Oversold,-0.028,Sell,0.0829,Less Volatility,27.118,Sell,-93.3333,Sell,-0.0407,Sell,26.201,Oversold,-4.188,Sell,-88.889,Oversold,-0.0740,Sell,Buy (0) ,Strong Sell,1830,+0.55,CEMAS,2023-03-22,SAT,1.840,SAT,1.889,SAT,1.896,SAT,1.931,SAT,2.174,AL,1.801,SAT,Buy (1)
40.802,Sell,12.407,Oversold,8.733,Oversold,-0.048,Sell,0.1179,Less Volatility,35.903,Sell,-111.2526,Sell,-0.1771,Sell,21.476,Oversold,-10.876,Sell,-92.857,Oversold,-0.2300,Sell,Buy (0) ,Strong Sell,2940,0.00,SNGYO,2023-03-22,SAT,2.974,SAT,3.095,SAT,3.151,SAT,3.124,SAT,3.461,SAT,4.264,SAT,Buy (0)
43.675,Sell,36.389,Sell,0.000,Oversold,-0.003,Sell,0.0571,Less Volatility,26.894,Sell,-218.3548,Oversold,-0.0507,Sell,36.817,Sell,-6.481,Sell,-93.750,Oversold,-0.0660,Sell,Buy (0) ,Strong Sell,1020,0.00,IHLGM,2023-03-22,SAT,1.050,SAT,1.074,SAT,1.064,SAT,1.048,SAT,1.148,AL,0.970,SAT,Buy (1)
37.227,Sell,21.932,Sell,41.176,Sell,-0.108,Sell,0.0943,Less Volatility,63.644,Sell,-112.4371,Sell,-0.0964,Sell,31.420,Sell,-9.310,Sell,-80.952,Oversold,-0.2900,Sell,Buy (0) ,Strong Sell,2640,+3.13,ALBRK,2023-03-22,SAT,2.634,SAT,2.705,SAT,2.810,SAT,2.976,SAT,3.071,AL,2.428,SAT,Buy (2)
45.117,Neutral,24.932,Sell,4.054,Oversold,0.175,Buy,1.7543,Less Volatility,32.441,Sell,-149.8553,Sell,-2.0029,Sell,35.934,Sell,-7.741,Sell,-93.703,Oversold,-3.4880,Sell,Buy (1) ,Strong Sell,44220,+0.77,SISE,2023-03-22,SAT,45.164,SAT,46.002,SAT,46.744,AL,43.978,AL,41.224,AL,33.046,SAT,Buy (5)
46.668,Neutral,18.636,Oversold,3.030,Oversold,1.836,Buy,3.3121,Less Volatility,43.194,Sell,-157.2944,Sell,-4.2700,Sell,21.497,Oversold,-18.815,Sell,-96.679,Oversold,-6.4180,Sell,Buy (1) ,Sell,37540,+1.02,OYAKC,2023-03-22,SAT,39.096,SAT,41.430,SAT,43.855,AL,32.160,AL,25.819,AL,19.821,neutral,Buy (6)
36.450,Sell,28.773,Sell,0.000,Oversold,-0.056,Sell,0.0617,Less Volatility,49.026,Sell,-142.4819,Sell,-0.0579,Sell,53.940,Buy,-7.935,Sell,-91.818,Oversold,-0.1240,Sell,Buy (1) ,Strong Sell,1320,-1.49,KATMR,2023-03-22,SAT,1.370,SAT,1.394,SAT,1.414,SAT,1.533,SAT,1.918,SAT,1.614,SAT,Buy (0)
68.037,Buy,67.722,Buy,5.511,Oversold,2.048,Buy,1.4571,High Volatility,67.466,Buy,82.5817,Buy,0.7864,Buy,55.066,Buy,63.914,Buy,-36.568,Buy,3.2360,Buy,Buy (10) ,Strong Buy,12880,-2.35,EMKEL,2023-03-22,SAT,13.368,AL,12.042,AL,9.914,AL,6.471,AL,5.570,AL,4.254,AL,Buy (11)
36.143,Sell,21.406,Sell,16.882,Oversold,-1.303,Sell,1.3557,Less Volatility,57.479,Sell,-130.9017,Sell,-2.2586,Sell,27.024,Oversold,-15.443,Sell,-87.853,Oversold,-4.5480,Sell,Buy (0) ,Strong Sell,28980,+1.83,HEKTS,2023-03-22,SAT,29.404,SAT,30.708,SAT,32.690,SAT,33.511,SAT,35.542,AL,25.460,SAT,Buy (2)
52.788,Neutral,45.779,Neutral,38.012,Sell,0.154,Buy,0.2500,Less Volatility,17.993,Neutral,35.2202,Neutral,0.0000,Neutral,43.796,Sell,0.670,Buy,-55.224,Sell,0.0020,Buy,Buy (3) ,Neutral,6020,-1.47,IZMDC,2023-03-22,SAT,6.072,AL,5.997,SAT,6.015,AL,5.565,AL,5.576,AL,4.161,AL,Buy (8)
